,price
757,9000
758,2000
759,62000
760,26772
761,116999
762,29900
763,46598
764,29000
765,25925
766,9975
767,44850
768,20199
769,19000
770,50204
771,18000
772,13500
773,32950
774,22500
775,12433
776,21000
777,9000
778,26125
779,26500
780,10500
781,53900
782,26485
783,15000
784,18000
785,28500
786,34999
787,26500
788,97555
789,19500
790,24999
791,10900
792,49999
793,39687
794,28900
795,44850
796,27000
797,68969
798,15000
799,39500
800,8999
801,15500
802,38900
803,69900
804,26000
805,27499
806,19995
807,7000
808,17500
809,9950
810,12000
811,41598
812,61000
813,22500
814,42000
815,66000
816,27000
817,20000
818,70000
819,36800
820,39366
821,32455
822,55000
823,45999
824,16500
825,20995
826,22500
827,31999
828,29500
829,25900
830,5900
831,48000
832,11999
833,14945
834,31698
835,63000
836,9995
837,15000
838,29998
839,16500
840,29500
841,97500
842,35700
843,9995
844,52000
845,29182
846,33333
847,165000
848,24980
849,67900
850,11000
851,11900
852,5700
853,24900
854,13999
855,10900
856,39995
857,37300
858,210000
859,44999
860,34580
861,9995
862,12900
863,44900
864,21000
865,20784
866,19500
867,14500
868,24500
869,17000
870,32500
871,8500
872,10995
873,67800
874,50500
875,314900
876,26000
877,19600
878,46900
879,8500
880,38998
881,26000
882,28000
883,10200
884,41500
885,28000
886,75499
887,29995
888,19600
889,37500
890,12000
891,34000
892,25695
893,14000
894,75500
895,12300
896,48219
897,7750
898,29500
899,29000
900,41599
901,43900
902,93000
903,45498
904,13500
905,44900
906,30750
907,46850
908,43000
909,75000
910,56000
911,69900
912,26599
913,9500
914,27500
915,22000
916,3550
917,46599
918,41000
919,56900
920,13500
921,127899
922,42816
923,36880
924,31900
925,72000
926,45855
927,88900
928,36995
929,87000
930,18995
931,18700
932,16000
933,21999
934,15000
935,37999
936,6500
937,26000
938,11900
939,8500
940,11500
941,47214
942,6250
943,33490
944,29000
945,25500
946,67900
947,43666
948,26600
949,15900
950,24700
951,20995
952,4000
953,28000
954,25000
955,45500
956,49883
957,31750
958,69950
959,19500
960,37900
961,28900
962,35500
963,69790
964,67000
965,19950
966,40500
967,179900
968,32000
969,47000
970,31900
971,39985
972,185500
973,98900
974,49998
975,10500
976,30990
977,24700
978,19800
979,54599
980,24999
981,36998
982,29600
983,34000
984,6699
985,14500
986,59203
987,12500
988,56000
989,28500
990,31300
991,45423
992,19995
993,38500
994,28600
995,5000
996,77897
997,15599
998,220000
999,45770
1000,49999
1001,32541
1002,39990
1003,27750
1004,14995
1005,39366
1006,27000
1007,7500
1008,110000
1009,15500
1010,130000
1011,20500
1012,18500
1013,25900
1014,31985
1015,20999
1016,38000
1017,115000
1018,14599
1019,38500
1020,27500
1021,52000
1022,10900
1023,29725
1024,18400
1025,3500
1026,12998
1027,39000
1028,57000
1029,41899
1030,32000
1031,28900
1032,27500
1033,65000
1034,55000
1035,78000
1036,9500
1037,29500
1038,27785
1039,82500
1040,68990
1041,6700
1042,55500
1043,34999
1044,2899
1045,5750
1046,15000
1047,85950
1048,73500
1049,24590
1050,13900
1051,52900
1052,17500
1053,43000
1054,25625
1055,33364
1056,19950
1057,10800
1058,33490
1059,8500
1060,43663
1061,17900
1062,46000
1063,5800
1064,49950
1065,30427
1066,15998
1067,108900
1068,6900
1069,60995
1070,68750
1071,24500
1072,47500
1073,29950
1074,36500
1075,89000
1076,82150
1077,28000
1078,31900
1079,13500
1080,50000
1081,89000
1082,53500
1083,43500
1084,7850
1085,3990
1086,38298
1087,3950
1088,31450
1089,42999
1090,479995
1091,11000
1092,75000
1093,10000
1094,38500
1095,15750
1096,10500
1097,6500
1098,22500
1099,13000
1100,36950
1101,20990
1102,10340
1103,9450
1104,31755
1105,55000
1106,185000
1107,69995
1108,19395
1109,88900
1110,26950
1111,10300
1112,32000
1113,61500
1114,20500
1115,33000
1116,14000
1117,99750
1118,41000
1119,7100
1120,13000
1121,43500
1122,15500
1123,35707
1124,22500
1125,15000
1126,22000
1127,267950
1128,91500
1129,14500
1130,42000
1131,10995
1132,46900
1133,34500
1134,33000
1135,45770
1136,38900
1137,12000
1138,15500
1139,53500
1140,20000
1141,25900
1142,69685
1143,6999
1144,38900
1145,36800
1146,13000
1147,21000
1148,29500
1149,15500
1150,26999
1151,134999
1152,28000
1153,99000
1154,68750
1155,31000
1156,16000
1157,10900
1158,32000
1159,12950
1160,43000
1161,13600
1162,159500
1163,175000
1164,9500
1165,22995
1166,25000
1167,17500
1168,20000
1169,49883
1170,16750
1171,9599
1172,54900
1173,9950
1174,71999
1175,39998
1176,226000
1177,40998
1178,24950
1179,29999
1180,9000
1181,40250
1182,267950
1183,50000
1184,15500
1185,46999
1186,40655
1187,9995
1188,55999
1189,44600
1190,29000
1191,14999
1192,62000
1193,52000
1194,38500
1195,26299
1196,29500
1197,38490
1198,8800
1199,179000
1200,21500
1201,52500
1202,9000
1203,85000
1204,649999
1205,34000
1206,45000
1207,39000
1208,43329
1209,26999
1210,22500
1211,10950
1212,56900
1213,45000
1214,20999
1215,51598
1216,77430
1217,26000
1218,55000
1219,4300
1220,53998
1221,20995
1222,119500
1223,40368
1224,9999
1225,59950
1226,30000
1227,62425
1228,120990
1229,15900
1230,491836
1231,29900
1232,24900
1233,58504
1234,13715
1235,12000
1236,86900
1237,8750
1238,5995
1239,36800
1240,9200
1241,7200
1242,98900
1243,61000
1244,36750
1245,13500
1246,16500
1247,21500
1248,45000
1249,9000
1250,44340
1251,25500
1252,41500
1253,34955
1254,59500
1255,42590
1256,66500
1257,15995
1258,23999
1259,3999
1260,17000
1261,36500
1262,6000
1263,13500
1264,48998
1265,18000
1266,42950
1267,85500
1268,32500
1269,16900
1270,36791
1271,14250
1272,6000
1273,40000
1274,18000
1275,6900
1276,6500
1277,3200
1278,33700
1279,5995
1280,15999
1281,23000
1282,42599
1283,32300
1284,491836
1285,52590
1286,38500
1287,35999
1288,9900
1289,53500
1290,47500
1291,15550
1292,17999
1293,12500
1294,22500
1295,48149
1296,8000
1297,81500
1298,34500
1299,21900
1300,61000
1301,133500
1302,34000
1303,23999
1304,57999
1305,24950
1306,35999
1307,11999
1308,41250
1309,2500
1310,16000
1311,39000
1312,45423
1313,9999
1314,33999
1315,10500
1316,20470
1317,13600
1318,9500
1319,37000
1320,16800
1321,18500
1322,51798
1323,14900
1324,35900
1325,35000
1326,47500
1327,13349
1328,15995
1329,39848
1330,44998
1331,25500
1332,18500
1333,48459
1334,31450
1335,41000
1336,45500
1337,65000
1338,34900
1339,73600
1340,18795
1341,42999
1342,22000
1343,17500
1344,28590
1345,40000
1346,26816
1347,51999
1348,11000
1349,37500
1350,44600
1351,13000
1352,37500
1353,24991
1354,54490
1355,32085
1356,36000
1357,56900
1358,16900
1359,61995
1360,149900
1361,30500
1362,15500
1363,30275
1364,7700
1365,67900
1366,32900
1367,38000
1368,7500
1369,52900
1370,34000
1371,20000
1372,34500
1373,59900
1374,52500
1375,49685
1376,15000
1377,74995
1378,45770
1379,39950
1380,39900
1381,99900
1382,37500
1383,21750
1384,11250
1385,18000
1386,12000
1387,76000
1388,40500
1389,54000
1390,18999
1391,20784
1392,111000
1393,55000
1394,22500
1395,42950
1396,94995
1397,14599
1398,15100
1399,3500
1400,11000
1401,25999
1402,76500
1403,28979
1404,117500
1405,29950
1406,29500
1407,18000
1408,43500
1409,21999
1410,19500
1411,28250
1412,9500
1413,13000
1414,22222
1415,65000
1416,48999
1417,103500
1418,75000
1419,28324
1420,11000
1421,13999
1422,54500
1423,49999
1424,26599
1425,15599
1426,26000
1427,72000
1428,21999
1429,31995
1430,23000
1431,19980
1432,28500
1433,47645
1434,21500
1435,62479
1436,19500
1437,53000
1438,32450
1439,21900
1440,38322
1441,12900
1442,13500
1443,68995
1444,20000
1445,17498
1446,15000
1447,79900
1448,15500
1449,39127
1450,26900
1451,77999
1452,16500
1453,15300
1454,10998
1455,103000
1456,9995
1457,14998
1458,21800
1459,33500
1460,29000
1461,10000
1462,44000
1463,8995
1464,11499
1465,24900
1466,16600
1467,32400
1468,46995
1469,22999
1470,37500
1471,10340
1472,43389
1473,31700
1474,33580
1475,18700
1476,33900
1477,10000
1478,26500
1479,18750
1480,26500
1481,48000
1482,59200
1483,18000
1484,41000
1485,489000
1486,18000
1487,44850
1488,69645
1489,33172
1490,10340
1491,59950
1492,193063
1493,12998
1494,9400
1495,45999
1496,89000
1497,8500
1498,22500
1499,64000
1500,65499
1501,75000
1502,35900
1503,12990
1504,23739
1505,11400
1506,20499
1507,59203
1508,47698
1509,44798
1510,35750
1511,64900
1512,56000
1513,38095
1514,2800
1515,215000
1516,64000
1517,175000
1518,70250
1519,27000
1520,12500
1521,67800
1522,42500
1523,58900
1524,429998
1525,18999
1526,22800
1527,13999
1528,55000
1529,55999
1530,15500
1531,18650
1532,65000
1533,34500
1534,25221
1535,26500
1536,11400
1537,25000
1538,10999
1539,107998
1540,81500
1541,38000
1542,12990
1543,12000
1544,56000
1545,22500
1546,23500
1547,33500
1548,44800
1549,28000
1550,55000
1551,28000
1552,17000
1553,12500
1554,37400
1555,29950
1556,119900
1557,24995
1558,33000
1559,82150
1560,27518
1561,19395
1562,31995
1563,7300
1564,20490
1565,39900
1566,39999
1567,15750
1568,25990
1569,25500
1570,84997
1571,48000
1572,7500
1573,29800
1574,32000
1575,54599
1576,21495
1577,9999
1578,34998
1579,28499
1580,13500
1581,46105
1582,43500
1583,18999
1584,35000
1585,25999
1586,48995
1587,21500
1588,6750
1589,9500
1590,4800
1591,31500
1592,34999
1593,46999
1594,7000
1595,12000
1596,6000
1597,16000
1598,35750
1599,15500
1600,45999
1601,60200
1602,12900
1603,5990
1604,73900
1605,19900
1606,17500
1607,63000
1608,28890
1609,81000
1610,25000
1611,17000
1612,52000
1613,45000
1614,14750
1615,28900
1616,18500
1617,31999
1618,11500
1619,18000
1620,104900
1621,4000
1622,144900
1623,4500
1624,45000
1625,42886
1626,229900
1627,27450
1628,26000
1629,7500
1630,66500
1631,25500
1632,46000
1633,156900
1634,15900
1635,26000
1636,29000
1637,8450
1638,25221
1639,69900
1640,67995
1641,49900
1642,8999
1643,17000
1644,65000
1645,13999
1646,15500
1647,22450
1648,13715
1649,13999
1650,128900
1651,38322
1652,49950
1653,36300
1654,25307
1655,69500
1656,28000
1657,28900
1658,18650
1659,47000
1660,17100
1661,30500
1662,35800
1663,29000
1664,46999
1665,15500
1666,11200
1667,78000
1668,77500
1669,26288
1670,19980
1671,6250
1672,77900
1673,26999
1674,30798
1675,17999
1676,4495
1677,49500
1678,23000
1679,45000
1680,76000
1681,16750
1682,19000
1683,41400
1684,169000
1685,22000
1686,11495
1687,43860
1688,12449
1689,60000
1690,51999
1691,6299
1692,19500
1693,27500
1694,35645
1695,17999
1696,49900
1697,18000
1698,34000
1699,21000
1700,3200
1701,279900
1702,15550
1703,30490
1704,19500
1705,39500
1706,10800
1707,47214
1708,50204
1709,18000
1710,63500
1711,33000
1712,91900
1713,41329
1714,117900
1715,27500
1716,82000
1717,29000
1718,24999
1719,27350
1720,69995
1721,31995
1722,16500
1723,49000
1724,41500
1725,83998
1726,31450
1727,33000
1728,18650
1729,18500
1730,47800
1731,92888
1732,7500
1733,16995
1734,7500
1735,5500
1736,37700
1737,30427
1738,11500
1739,83998
1740,59950
1741,7599
1742,43500
1743,20850
1744,89900
1745,47449
1746,28900
1747,34500
1748,65000
1749,19599
1750,38322
1751,151900
1752,8550
1753,63900
1754,37300
1755,27785
1756,67500
1757,10000
1758,35000
1759,32950
1760,99999
1761,43837
1762,49900
1763,3000
1764,22000
1765,4000
1766,40368
1767,60500
1768,29500
1769,76400
1770,32990
1771,22000
1772,25999
1773,11000
1774,29000
1775,11000
1776,55000
1777,21995
1778,57999
1779,35000
1780,17900
1781,17900
1782,41500
1783,30000
1784,125900
1785,30000
1786,9450
1787,119500
1788,38500
1789,76000
1790,8550
1791,42000
1792,60998
1793,43430
1794,17500
1795,18000
1796,9995
1797,20995
1798,51999
1799,88950
1800,16000
1801,130000
1802,6099
1803,17900
1804,10500
1805,30000
1806,9999
1807,10300
1808,44791
1809,66900
1810,42999
1811,33000
1812,16998
1813,23900
1814,22000
1815,6500
1816,26000
1817,58900
1818,25000
1819,48600
1820,10400
1821,2300
1822,95000
1823,8500
1824,5995
1825,68495
1826,16000
1827,62499
1828,3500
1829,51999
1830,93000
1831,16500
1832,66900
1833,18500
1834,86999
1835,79500
1836,239991
1837,109499
1838,104000
1839,54900
1840,34000
1841,27000
1842,26999
1843,11000
1844,13750
1845,29999
1846,15000
1847,15000
1848,399950
1849,27900
1850,26288
1851,30000
1852,8500
1853,27599
1854,97500
1855,40998
1856,14990
1857,25215
1858,45950
1859,7900
1860,27450
1861,10750
1862,71000
1863,35900
1864,47498
1865,55329
1866,24900
1867,60995
1868,5800
1869,117000
1870,23500
1871,45950
1872,6500
1873,22999
1874,13995
1875,37999
1876,105500
1877,52999
1878,19995
1879,40998
1880,2954083
1881,48295
1882,11500
1883,32850
1884,49900
1885,24900
1886,21500
1887,78000
1888,13700
1889,9750
1890,43860
1891,19995
1892,12000
1893,52598
1894,3500
1895,31000
1896,57999
1897,38000
1898,35470
1899,82000
1900,75000
1901,17000
1902,10900
1903,29900
1904,21900
1905,39990
1906,13750
1907,43999
1908,229000
1909,29990
1910,44950
1911,20900
1912,42000
1913,130000
1914,51000
1915,24000
1916,16500
1917,8700
1918,8999
1919,7850
1920,23500
1921,12700
1922,124999
1923,23977
1924,31995
1925,27499
1926,11500
1927,15500
1928,89900
1929,90000
1930,99750
1931,9500
1932,42700
1933,8000
1934,26599
1935,19500
1936,31990
1937,6700
1938,19425
1939,11500
1940,42599
1941,65990
1942,52889
1943,39900
1944,80000
1945,68000
1946,11990
1947,17000
1948,30000
1949,82000
1950,24000
1951,68000
1952,102000
1953,39900
1954,8500
1955,9888
1956,14500
1957,35900
1958,27000
1959,10995
1960,35000
1961,28616
1962,117900
1963,59598
1964,12500
1965,133000
1966,21000
1967,15999
1968,28500
1969,92500
1970,29900
1971,47999
1972,26000
1973,36500
1974,26000
1975,8500
1976,13000
1977,41500
1978,12995
1979,159998
1980,17000
1981,20995
1982,38005
1983,28900
1984,148500
1985,21500
1986,449995
1987,3850
1988,17900
1989,53500
1990,21900
1991,6500
1992,38998
1993,23000
1994,23000
1995,33995
1996,9400
1997,90000
1998,19000
1999,12000
2000,20000
2001,7900
2002,46900
2003,79950
2004,82500
2005,16000
2006,26900
2007,21000
2008,49500
2009,99998
2010,5000
2011,57000
2012,63500
2013,11400
2014,42242
2015,120990
2016,269991
2017,44950
2018,76000
2019,48995
2020,28500
2021,10000
2022,29895
2023,55000
2024,15000
2025,29000
2026,31000
2027,39998
2028,48900
2029,26000
2030,15500
2031,23995
2032,53722
2033,30989
2034,30000
2035,53900
2036,4999
2037,36500
2038,26990
2039,56740
2040,96850
2041,26500
2042,27633
2043,9950
2044,45950
2045,22999
2046,29500
2047,80000
2048,18000
2049,57000
2050,30089
2051,12500
2052,25215
2053,18800
2054,16000
2055,25000
2056,25500
2057,6000
2058,21995
2059,16000
2060,28825
2061,9000
2062,12599
2063,17999
2064,62500
2065,37698
2066,259500
2067,50500
2068,67800
2069,20000
2070,48000
2071,6500
2072,22000
2073,17800
2074,18700
2075,12800
2076,4000
2077,54800
2078,31000
2079,31755
2080,64500
2081,60000
2082,16750
2083,44998
2084,89900
2085,52500
2086,7900
2087,30000
2088,33600
2089,5500
2090,488880
2091,72900
2092,11999
2093,51900
2094,27900
2095,10900
2096,55000
2097,31000
2098,28499
2099,84995
2100,68995
2101,10500
2102,21000
2103,83999
2104,35000
2105,10500
2106,75000
2107,12900
2108,50000
2109,83000
2110,40459
2111,52000
2112,24999
2113,27875
2114,40798
2115,61500
2116,41000
2117,66000
2118,107900
2119,17900
2120,41500
2121,17500
2122,34500
2123,65700
2124,4750
2125,14500
2126,155700
2127,38998
2128,4900
2129,53568
2130,54000
2131,40655
2132,50658
2133,84645
2134,27750
2135,81900
2136,18999
2137,20800
2138,9950
2139,30000
2140,37999
2141,40000
2142,7700
2143,41000
2144,93500
2145,8750
2146,29000
2147,3000
2148,53999
2149,36000
2150,4200
2151,8500
2152,23500
2153,29500
2154,22000
2155,13000
2156,69685
2157,99999
2158,19500
2159,13500
2160,47214
2161,95500
2162,4500
2163,28995
2164,38400
2165,43500
2166,66000
2167,159500
2168,45000
2169,4800
2170,49685
2171,14900
2172,23599
2173,73000
2174,51500
2175,42950
2176,44900
2177,65999
2178,25000
2179,71999
2180,26500
2181,66200
2182,272950
2183,36800
2184,46900
2185,11498
2186,18500
2187,42598
2188,33500
2189,24999
2190,79999
2191,94999
2192,96000
2193,46900
2194,15000
2195,35000
2196,6299
2197,3990
2198,16499
2199,45000
2200,21900
2201,84999
2202,42000
2203,115785
2204,162500
2205,65000
2206,71000
2207,85000
2208,23500
2209,9000
2210,26750
2211,49599
2212,42000
2213,9875
2214,12350
2215,13000
2216,279950
2217,32000
2218,13250
2219,65000
2220,349950
2221,67250
2222,23000
2223,14300
2224,37500
2225,15600
2226,39998
2227,19000
2228,68995
2229,108000
2230,20848
2231,43000
2232,42598
2233,26999
2234,8900
2235,25500
2236,21500
2237,57500
2238,14500
2239,82150
2240,199991
2241,19550
2242,42000
2243,44750
2244,41950
2245,51900
2246,15500
2247,17800
2248,51900
2249,61059
2250,67999
2251,22500
2252,17000
2253,21375
2254,24325
2255,29000
2256,9499
2257,39000
2258,11500
2259,4500
2260,85998
2261,41500
2262,15000
2263,18000
2264,73995
2265,56900
2266,55999
2267,9200
2268,33500
2269,15000
2270,40998
2271,43500
2272,12500
2273,104500
2274,37999
2275,38500
2276,34000
2277,11499
2278,45000
2279,4300
2280,71950
2281,34000
2282,36000
2283,15700
2284,10990
2285,97555
2286,81500
2287,15000
2288,31000
2289,20499
2290,171900
2291,19780
2292,42442
2293,32990
2294,22500
2295,78000
2296,47998
2297,59549
2298,23000
2299,52500
2300,8900
2301,124990
2302,11000
2303,72900
2304,15900
2305,39687
2306,15363
2307,32000
2308,33995
2309,37000
2310,22945
2311,20900
2312,20000
2313,16000
2314,68990
2315,29000
2316,15000
2317,27785
2318,22000
2319,6000
2320,23500
2321,71000
2322,12000
2323,55500
2324,35707
2325,19995
2326,6250
2327,48998
2328,65000
2329,21000
2330,17900
2331,399900
2332,57300
2333,85500
2334,39499
2335,34000
2336,8250
2337,19550
2338,139000
2339,26545
2340,50000
2341,19500
2342,27950
2343,26500
2344,31999
2345,22000
2346,61599
2347,39390
2348,4900
2349,51000
2350,42000
2351,6000
2352,17900
2353,12500
2354,27798
2355,14500
2356,63000
2357,8300
2358,29600
2359,20000
2360,9495
2361,18900
2362,26000
2363,24500
2364,13500
2365,19000
2366,649999
2367,10500
2368,25900
2369,12500
2370,12500
2371,41899
2372,14999
2373,52000
2374,24900
2375,33172
2376,41000
2377,60000
2378,18500
2379,67900
2380,11900
2381,11500
2382,30000
2383,25650
2384,35000
2385,6450
2386,6000
2387,12449
2388,31853
2389,10000
2390,123999
2391,50999
2392,60500
2393,33242
2394,195000
2395,22500
2396,33999
2397,9000
2398,81900
2399,61599
2400,52889
2401,10499
2402,14500
2403,43147
2404,53500
2405,41500
2406,12500
2407,26000
2408,33995
2409,12500
2410,50000
2411,8900
2412,51900
2413,36791
2414,36800
2415,24900
2416,24980
2417,67000
2418,99000
2419,20999
2420,9999
2421,51798
2422,5800
2423,57500
2424,46598
2425,26500
2426,4200
2427,29999
2428,40000
2429,59000
2430,36300
2431,5900
2432,19600
2433,23300
2434,46599
2435,33995
2436,16975
2437,18800
2438,43500
2439,16000
2440,30000
2441,16500
2442,102000
2443,129000
2444,9888
2445,45950
2446,9900
2447,34500
2448,13900
2449,16000
2450,11500
2451,89999
2452,24840
2453,23500
2454,144900
2455,33900
2456,43663
2457,12250
2458,128000
2459,226000
2460,29000
2461,20000
2462,15000
2463,7900
2464,34999
2465,71400
2466,4500
2467,34000
2468,25000
2469,11499
2470,15900
2471,11500
2472,37000
2473,9400
2474,42000
2475,44900
2476,27750
2477,12000
2478,11999
2479,35998
2480,10500
2481,37900
2482,4200
2483,48889
2484,91000
2485,16500
2486,34000
2487,105900
2488,25999
2489,13900
2490,16000
2491,22989
2492,13999
2493,29998
2494,9500
2495,18000
2496,27500
2497,4500
